pose_id,pose_name,category,mode,view,canvas,yaw,pitch,bbox_x,bbox_y,bbox_w,bbox_h,clipped,occupation_pct,silhouette_pct,margin_top,margin_bottom,margin_left,margin_right
forearms-crossed-table,"Forearms Crossed Table",lean-seat,avatar,90/0,160x180,90,0,64.2,17.4,70.5,95.8,0,23.4,22.5,17.4,66.9,64.2,25.3
forearms-crossed-table,"Forearms Crossed Table",lean-seat,avatar,45/0,160x180,45,0,46.0,17.4,92.4,95.8,0,30.7,26.8,17.4,66.9,46.0,21.6
forearms-crossed-table,"Forearms Crossed Table",lean-seat,skeleton,0/0,160x180,0,0,31.5,17.4,100.3,95.8,0,33.4,48.3,17.4,66.9,31.5,28.2
forearms-crossed-table,"Forearms Crossed Table",lean-seat,skeleton,90/0,160x180,90,0,64.2,17.4,70.5,95.8,0,23.4,47.1,17.4,66.9,64.2,25.3
forearms-crossed-table,"Forearms Crossed Table",lean-seat,skeleton,45/0,160x180,45,0,46.0,17.4,92.4,95.8,0,30.7,47.7,17.4,66.9,46.0,21.6
forearms-crossed-table,"Forearms Crossed Table",lean-seat,ghost,0/0,160x180,0,0,31.5,17.4,100.3,95.8,0,33.4,33.7,17.4,66.9,31.5,28.2
forearms-crossed-table,"Forearms Crossed Table",lean-seat,ghost,90/0,160x180,90,0,64.2,17.4,70.5,95.8,0,23.4,43.0,17.4,66.9,64.2,25.3
forearms-crossed-table,"Forearms Crossed Table",lean-seat,ghost,45/0,160x180,45,0,46.0,17.4,92.4,95.8,0,30.7,35.7,17.4,66.9,46.0,21.6
both-knees,"Both Knees",kneeling,avatar,0/0,160x180,0,0,36.6,15.4,78.4,145.2,0,39.5,16.4,15.4,19.4,36.6,45.0
both-knees,"Both Knees",kneeling,avatar,90/0,160x180,90,0,64.2,15.4,58.7,145.2,0,29.6,12.0,15.4,19.4,64.2,37.1
both-knees,"Both Knees",kneeling,avatar,45/0,160x180,45,0,47.0,15.4,71.2,145.2,0,35.9,15.5,15.4,19.4,47.0,41.8
both-knees,"Both Knees",kneeling,skeleton,0/0,160x180,0,0,36.6,15.4,78.4,145.2,0,39.5,50.5,15.4,19.4,36.6,45.0
both-knees,"Both Knees",kneeling,skeleton,90/0,160x180,90,0,64.2,15.4,58.7,145.2,0,29.6,48.3,15.4,19.4,64.2,37.1
both-knees,"Both Knees",kneeling,skeleton,45/0,160x180,45,0,47.0,15.4,71.2,145.2,0,35.9,49.8,15.4,19.4,47.0,41.8
both-knees,"Both Knees",kneeling,ghost,0/0,160x180,0,0,36.6,15.4,78.4,145.2,0,39.5,35.6,15.4,19.4,36.6,45.0
both-knees,"Both Knees",kneeling,ghost,90/0,160x180,90,0,64.2,15.4,58.7,145.2,0,29.6,35.8,15.4,19.4,64.2,37.1
both-knees,"Both Knees",kneeling,ghost,45/0,160x180,45,0,47.0,15.4,71.2,145.2,0,35.9,35.6,15.4,19.4,47.0,41.8
knights-kneel,"Knight's Kneel",kneeling,avatar,0/0,160x180,0,0,33.0,15.4,80.9,114.5,0,32.1,26.8,15.4,50.1,33.0,46.1
knights-kneel,"Knight's Kneel",kneeling,avatar,90/0,160x180,90,0,61.5,15.4,69.1,114.5,0,27.4,16.3,15.4,50.1,61.5,29.4
knights-kneel,"Knight's Kneel",kneeling,avatar,45/0,160x180,45,0,43.7,15.4,76.3,114.5,0,30.3,25.0,15.4,50.1,43.7,40.0
knights-kneel,"Knight's Kneel",kneeling,skeleton,0/0,160x180,0,0,33.0,15.4,80.9,114.5,0,32.1,48.3,15.4,50.1,33.0,46.1
knights-kneel,"Knight's Kneel",kneeling,skeleton,90/0,160x180,90,0,61.5,15.4,69.1,114.5,0,27.4,47.1,15.4,50.1,61.5,29.4
knights-kneel,"Knight's Kneel",kneeling,skeleton,45/0,160x180,45,0,43.7,15.4,76.3,114.5,0,30.3,47.7,15.4,50.1,43.7,40.0
knights-kneel,"Knight's Kneel",kneeling,ghost,0/0,160x180,0,0,33.0,15.4,80.9,114.5,0,32.1,39.2,15.4,50.1,33.0,46.1
knights-kneel,"Knight's Kneel",kneeling,ghost,90/0,160x180,90,0,61.5,15.4,69.1,114.5,0,27.4,40.7,15.4,50.1,61.5,29.4
knights-kneel,"Knight's Kneel",kneeling,ghost,45/0,160x180,45,0,43.7,15.4,76.3,114.5,0,30.3,40.1,15.4,50.1,43.7,40.0
starfish,"Starfish",reclining,avatar,0/0,160x180,0,0,14.5,69.1,135.6,80.3,0,37.8,35.2,69.1,30.6,14.5,9.9
starfish,"Starfish",reclining,avatar,90/0,160x180,90,0,25.8,69.1,128.3,80.3,0,35.8,33.1,69.1,30.6,25.8,5.8
starfish,"Starfish",reclining,avatar,45/0,160x180,45,0,32.1,69.1,124.2,80.3,0,34.6,34.9,69.1,30.6,32.1,3.7
starfish,"Starfish",reclining,skeleton,0/0,160x180,0,0,14.5,69.1,135.6,80.3,0,37.8,50.5,69.1,30.6,14.5,9.9
