pose_id,mode,view,before_occ_pct,after_occ_pct,before_sil_pct,after_sil_pct,before_clipped,after_clipped
couple-embrace,avatar,quarter,40.0,40.0,14.1,14.8,0,0
couple-embrace,skeleton,front,47.4,47.4,37.3,48.3,0,0
couple-embrace,skeleton,side,24.5,24.5,36.3,47.1,0,0
couple-embrace,skeleton,quarter,40.0,40.0,36.8,47.7,0,0
couple-embrace,ghost,front,47.4,47.4,22.5,36.8,0,0
couple-embrace,ghost,side,24.5,24.5,21.4,36.0,0,0
couple-embrace,ghost,quarter,40.0,40.0,22.0,36.8,0,0
wheelchair-arms,avatar,front,47.3,47.3,15.1,15.5,0,0
wheelchair-arms,avatar,side,27.6,27.6,9.9,15.0,0,0
wheelchair-arms,avatar,quarter,39.6,39.6,14.2,20.9,0,0
wheelchair-arms,skeleton,front,47.3,47.3,37.3,48.3,0,0
wheelchair-arms,skeleton,side,27.6,27.6,36.3,47.1,0,0
wheelchair-arms,skeleton,quarter,39.6,39.6,36.8,47.7,0,0
wheelchair-arms,ghost,front,47.3,47.3,23.0,32.1,0,0
wheelchair-arms,ghost,side,27.6,27.6,20.2,40.1,0,0
wheelchair-arms,ghost,quarter,39.6,39.6,21.6,36.2,0,0
fashion-strong-silhouette-cape,avatar,front,48.0,48.0,15.5,16.3,0,0
fashion-strong-silhouette-cape,avatar,side,27.4,27.4,10.6,10.4,0,0
fashion-strong-silhouette-cape,avatar,quarter,39.2,39.2,14.1,14.5,0,0
fashion-strong-silhouette-cape,skeleton,front,48.0,48.0,37.3,48.3,0,0
fashion-strong-silhouette-cape,skeleton,side,27.4,27.4,36.3,47.1,0,0
fashion-strong-silhouette-cape,skeleton,quarter,39.2,39.2,36.8,47.7,0,0
fashion-strong-silhouette-cape,ghost,front,48.0,48.0,22.7,36.4,0,0
fashion-strong-silhouette-cape,ghost,side,27.4,27.4,21.8,36.3,0,0
fashion-strong-silhouette-cape,ghost,quarter,39.2,39.2,22.3,36.4,0,0
power-stance,avatar,front,44.7,44.7,15.4,16.2,0,0
soft-sit,avatar,front,32.7,32.7,13.5,21.8,0,0
both-knees,avatar,front,39.5,39.5,15.9,16.4,0,0
starfish,avatar,front,37.8,37.8,38.3,35.2,0,0
leap-forward,avatar,front,29.2,29.2,13.3,14.0,0,0
face-touch,avatar,front,46.5,46.5,18.0,19.1,0,0
